day,accuracy,prediction_confidence,data_freshness_hours,request_volume,feature_0_mean,feature_0_std,feature_1_mean,feature_1_std,feature_2_mean,feature_2_std,feature_3_mean,feature_3_std,feature_4_mean,feature_4_std,feature_5_mean,feature_5_std,feature_6_mean,feature_6_std,feature_7_mean,feature_7_std
1,0.9089,0.8935,1.7,11022,-0.0026,0.9816,-0.0489,1.0374,-0.0421,0.9753,0.0091,1.0133,-0.0227,0.9758,0.0484,1.0482,0.0302,0.9482,0.0124,0.9625
2,0.9292,0.9132,1.1,9915,-0.0082,0.9951,0.0636,0.9728,-0.0653,0.98,0.0194,1.0168,-0.0284,1.0655,0.0428,0.9718,0.0364,1.0197,-0.0679,0.9266
3,0.93,0.9088,1.7,10287,0.0079,1.0076,-0.1241,0.9884,0.0871,0.9912,0.0631,1.0141,-0.0542,0.9341,-0.0197,1.0611,0.0259,1.0088,0.0176,1.0175
4,0.907,0.8887,2.8,9893,0.0649,1.0217,0.0005,0.9684,-0.0138,0.9951,-0.0281,0.9796,-0.0243,1.0643,0.017,1.0028,-0.0033,0.9122,-0.0094,1.0527
5,0.9306,0.9063,1.8,4461,0.0254,0.9432,-0.0682,1.1126,-0.089,1.0349,0.0277,1.0282,-0.0814,1.0982,-0.0228,0.986,0.0038,0.9243,0.0603,0.9963
6,0.9156,0.8894,2.3,4141,0.0104,0.8843,0.013,0.9993,-0.0569,1.0462,-0.0108,0.9384,-0.0071,0.9291,-0.026,1.1598,0.0118,1.0363,-0.027,0.9609
7,0.9095,0.8759,2.1,10027,0.007,1.0133,0.025,0.9595,0.0363,0.9356,-0.0097,1.0575,-0.0428,0.9573,-0.0546,1.0256,0.0522,1.0666,-0.0103,0.934
8,0.9173,0.8996,2.2,10871,0.0141,1.0239,-0.0095,1.0067,-0.016,0.9802,-0.0139,0.9487,-0.0361,0.945,0.0474,1.0016,0.0312,0.947,-0.0902,0.9107
9,0.9203,0.8897,2.5,10819,-0.0369,1.0275,0.0244,1.0187,0.0569,1.0155,0.0915,0.9658,0.0787,1.0387,-0.0187,0.9888,-0.1541,0.888,0.0662,0.9544
10,0.9118,0.8836,2.4,10637,-0.0412,0.9397,0.0431,1.1269,0.052,1.0363,-0.0385,1.0034,0.0345,0.972,0.0161,1.0228,-0.0422,0.9753,-0.0546,0.8985
11,0.9196,0.8926,2.7,9227,0.0275,0.9731,-0.0391,0.9738,-0.0082,0.9741,0.0259,0.9475,-0.1043,0.9875,-0.0299,1.0354,-0.0231,0.9692,-0.0399,1.0645
12,0.9217,0.8877,1.7,4712,-0.0241,0.9994,-0.1051,1.0344,-0.0079,0.9702,0.0374,0.9331,-0.0741,1.0007,0.0066,1.0685,-0.0149,1.0211,0.0044,0.9943
13,0.9283,0.9162,1.6,4361,-0.0319,0.9435,-0.0244,0.9819,-0.0854,0.9205,-0.006,0.9919,-0.0026,0.9633,-0.0163,0.9747,0.0407,1.0306,-0.0597,1.0005
14,0.9069,0.8902,2.9,9661,0.0602,0.9989,0.0219,1.0679,-0.0202,1.0308,-0.05,0.8857,-0.006,1.0051,-0.0394,0.9939,0.0275,0.9411,-0.0481,0.9503
15,0.9038,0.9016,2.6,9754,0.0484,1.0832,-0.0504,1.0172,0.0211,0.984,0.019,0.9374,-0.0196,0.9917,0.0666,0.9452,-0.0326,1.0685,0.0158,1.0185
16,0.9063,0.8765,2.2,9918,-0.0242,0.9798,0.0542,0.9703,-0.0191,0.9445,0.0114,0.9286,-0.0903,0.9268,0.0035,0.9877,-0.0167,1.0774,0.053,0.9159
17,0.9263,0.9071,2.7,10062,-0.0539,0.9855,-0.0302,1.0065,-0.012,0.9366,0.0932,0.9694,0.0015,0.9678,-0.1317,1.0575,0.0228,1.0754,0.0588,0.9123
18,0.929,0.9298,2.4,10010,0.0224,0.9424,-0.0213,1.0216,0.0866,0.9839,-0.0203,1.0865,-0.0059,0.986,-0.0527,1.0076,-0.1056,1.0174,-0.015,1.0654
