epoch,train_loss,val_loss
1,4.4037,4.5594
2,4.318,4.533
3,4.2316,4.3236
4,4.1706,4.3213
5,4.0609,4.2696
6,4.0028,4.2591
7,3.9449,4.1239
8,3.7977,3.9856
9,3.771,4.0557
10,3.6864,3.9023
11,3.6379,3.7545
12,3.5242,3.8052
13,3.5134,3.6967
14,3.4199,3.6625
15,3.3728,3.5184
16,3.2961,3.4331
17,3.072,3.4273
18,3.0938,3.4572
19,3.1106,3.2734
20,3.0588,3.2294
21,2.9524,3.2159
22,2.9039,3.2276
23,2.8727,3.1455
24,2.817,3.1002
25,2.698,2.9763
26,2.6518,2.9981
27,2.6099,3.058
28,2.5295,2.8026
29,2.558,2.9053
30,2.4949,2.8225
31,2.4921,2.7667
32,2.3017,2.7404
33,2.3735,2.6857
34,2.2815,2.7876
35,2.2189,2.8158
36,2.2194,2.9117
37,2.178,2.7358
38,2.0764,2.7225
39,2.1104,2.7384
40,2.0185,2.8173
41,1.9458,2.7547
42,1.8506,2.7074
43,1.8758,2.7973
44,1.9262,2.7713
45,1.8426,2.7824
46,1.6921,2.5003
47,1.5008,2.1324
48,1.4121,2.0184
49,1.331,1.8399
50,1.287,1.7003
51,1.2015,1.6354
52,1.0742,1.4882
53,1.0924,1.5847
54,1.1408,1.4965
55,0.9812,1.4635
56,1.1278,1.3611
57,1.0686,1.3732
58,1.1862,1.2938
59,1.0786,1.4262
60,1.0777,1.3128
61,1.1049,1.2525
62,1.111,1.2484
63,1.1443,1.3165
64,1.2142,1.3296
65,1.1683,1.2317
66,1.0939,1.3271
67,1.1873,1.2052
68,1.1495,1.3402
69,1.1767,1.3464
70,1.1026,1.2715
71,1.0376,1.3139
72,1.0904,1.4229
73,1.0694,1.3206
74,1.0215,1.2773
75,1.1131,1.3503
76,1.1724,1.298
77,1.0441,1.328
78,1.1258,1.3299
79,1.065,1.3683
80,1.1044,1.3422
81,1.1637,1.3367
82,1.1143,1.4293
83,1.1122,1.2824
84,1.1056,1.3891
85,1.1059,1.3312
86,1.1598,1.2693
87,1.0137,1.318
88,1.1115,1.2636
89,1.1436,1.3365
90,1.0503,1.3311
91,1.0902,1.211
92,1.1226,1.2973
93,1.0627,1.3314
94,1.1244,1.2654
95,1.12,1.3609
96,1.0644,1.3229
97,1.1001,1.436
98,1.0069,1.3417
99,1.0847,1.294
100,1.1951,1.2995
